date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20170106,2017-01-06,2017,1,January,6,1,False
20170107,2017-01-07,2017,1,January,7,1,True
20170108,2017-01-08,2017,1,January,8,1,True
20170109,2017-01-09,2017,1,January,9,1,False
20170110,2017-01-10,2017,1,January,10,1,False
20170111,2017-01-11,2017,1,January,11,1,False
20170112,2017-01-12,2017,1,January,12,1,False
20170113,2017-01-13,2017,1,January,13,1,False
20170114,2017-01-14,2017,1,January,14,1,True
20170115,2017-01-15,2017,1,January,15,1,True
20170116,2017-01-16,2017,1,January,16,1,False
20170117,2017-01-17,2017,1,January,17,1,False
20170118,2017-01-18,2017,1,January,18,1,False
20170119,2017-01-19,2017,1,January,19,1,False
20170120,2017-01-20,2017,1,January,20,1,False
20170121,2017-01-21,2017,1,January,21,1,True
20170122,2017-01-22,2017,1,January,22,1,True
20170123,2017-01-23,2017,1,January,23,1,False
20170124,2017-01-24,2017,1,January,24,1,False
20170125,2017-01-25,2017,1,January,25,1,False
20170126,2017-01-26,2017,1,January,26,1,False
20170127,2017-01-27,2017,1,January,27,1,False
20170128,2017-01-28,2017,1,January,28,1,True
20170129,2017-01-29,2017,1,January,29,1,True
20170130,2017-01-30,2017,1,January,30,1,False
20170131,2017-01-31,2017,1,January,31,1,False
20170201,2017-02-01,2017,2,February,1,1,False
20170202,2017-02-02,2017,2,February,2,1,False
20170203,2017-02-03,2017,2,February,3,1,False
